version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
cpus=4
              nc-26365 [001] 211673.500302: funcgraph_entry:                   |  finish_task_switch() {
              nc-26365 [001] 211673.500310: funcgraph_entry:                   |    smp_irq_work_interrupt() {
              nc-26365 [001] 211673.500311: funcgraph_entry:                   |      irq_enter() {
              nc-26365 [001] 211673.500312: funcgraph_entry:        0.250 us   |        rcu_irq_enter();
              nc-26365 [001] 211673.500313: funcgraph_exit:         1.655 us   |      }
              nc-26365 [001] 211673.500314: funcgraph_entry:                   |      __wake_up() {
              nc-26365 [001] 211673.500315: funcgraph_entry:        0.140 us   |        _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500316: funcgraph_entry:        0.136 us   |        __wake_up_common();
              nc-26365 [001] 211673.500317: funcgraph_entry:        0.160 us   |        _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500318: funcgraph_exit:         3.065 us   |      }
              nc-26365 [001] 211673.500318: funcgraph_entry:                   |      __wake_up() {
              nc-26365 [001] 211673.500318: funcgraph_entry:        0.135 us   |        _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500319: funcgraph_entry:                   |        __wake_up_common() {
              nc-26365 [001] 211673.500321: funcgraph_entry:                   |          autoremove_wake_function() {
              nc-26365 [001] 211673.500321: funcgraph_entry:                   |            default_wake_function() {
              nc-26365 [001] 211673.500322: funcgraph_entry:                   |              try_to_wake_up() {
              nc-26365 [001] 211673.500322: funcgraph_entry:        0.441 us   |                _raw_spin_lock_irqsave();
              nc-26365 [001] 211673.500324: funcgraph_entry:        0.427 us   |                task_waking_fair();
              nc-26365 [001] 211673.500325: funcgraph_entry:                   |                select_task_rq_fair() {
              nc-26365 [001] 211673.500327: funcgraph_entry:                   |                  select_idle_sibling() {
              nc-26365 [001] 211673.500327: funcgraph_entry:        0.150 us   |                    idle_cpu();
              nc-26365 [001] 211673.500328: funcgraph_entry:        0.111 us   |                    cpus_share_cache();
              nc-26365 [001] 211673.500329: funcgraph_entry:        0.236 us   |                    idle_cpu();
              nc-26365 [001] 211673.500330: funcgraph_exit:         3.351 us   |                  }
              nc-26365 [001] 211673.500331: funcgraph_exit:         5.058 us   |                }
              nc-26365 [001] 211673.500332: funcgraph_entry:        0.165 us   |                _raw_spin_lock();
              nc-26365 [001] 211673.500333: funcgraph_entry:                   |                ttwu_do_activate.constprop.93() {
              nc-26365 [001] 211673.500333: funcgraph_entry:                   |                  activate_task() {
              nc-26365 [001] 211673.500334: funcgraph_entry:                   |                    enqueue_task() {
              nc-26365 [001] 211673.500334: funcgraph_entry:        0.266 us   |                      update_rq_clock.part.83();
              nc-26365 [001] 211673.500335: funcgraph_entry:                   |                      enqueue_task_fair() {
              nc-26365 [001] 211673.500336: funcgraph_entry:        0.216 us   |                        update_curr();
              nc-26365 [001] 211673.500337: funcgraph_entry:        0.131 us   |                        __compute_runnable_contrib();
              nc-26365 [001] 211673.500339: funcgraph_entry:                   |                        __compute_runnable_contrib() {
              nc-26365 [001] 211673.500340: funcgraph_entry:        0.221 us   |                          __compute_runnable_contrib.part.62();
              nc-26365 [001] 211673.500341: funcgraph_exit:         1.169 us   |                        }
              nc-26365 [001] 211673.500341: funcgraph_entry:        0.456 us   |                        account_entity_enqueue();
              nc-26365 [001] 211673.500343: funcgraph_entry:        1.109 us   |                        update_cfs_shares();
              nc-26365 [001] 211673.500345: funcgraph_entry:        0.236 us   |                        place_entity();
              nc-26365 [001] 211673.500346: funcgraph_entry:        0.225 us   |                        __enqueue_entity();
              nc-26365 [001] 211673.500347: funcgraph_entry:        0.115 us   |                        update_curr();
              nc-26365 [001] 211673.500348: funcgraph_entry:        0.126 us   |                        __compute_runnable_contrib();
              nc-26365 [001] 211673.500349: funcgraph_entry:        0.165 us   |                        __compute_runnable_contrib();
              nc-26365 [001] 211673.500350: funcgraph_entry:        0.191 us   |                        account_entity_enqueue();
              nc-26365 [001] 211673.500351: funcgraph_entry:        0.336 us   |                        update_cfs_shares();
              nc-26365 [001] 211673.500352: funcgraph_entry:        0.126 us   |                        place_entity();
              nc-26365 [001] 211673.500353: funcgraph_entry:        0.116 us   |                        __enqueue_entity();
              nc-26365 [001] 211673.500354: funcgraph_entry:        0.105 us   |                        hrtick_update();
              nc-26365 [001] 211673.500355: funcgraph_exit:       + 19.631 us  |                      }
              nc-26365 [001] 211673.500356: funcgraph_exit:       + 21.784 us  |                    }
              nc-26365 [001] 211673.500356: funcgraph_exit:       + 22.747 us  |                  }
              nc-26365 [001] 211673.500357: funcgraph_entry:                   |                  ttwu_do_wakeup() {
              nc-26365 [001] 211673.500357: funcgraph_entry:                   |                    check_preempt_curr() {
              nc-26365 [001] 211673.500358: funcgraph_entry:        0.888 us   |                      resched_curr();
              nc-26365 [001] 211673.500360: funcgraph_exit:         2.418 us   |                    }
              nc-26365 [001] 211673.500362: funcgraph_exit:         5.033 us   |                  }
              nc-26365 [001] 211673.500363: funcgraph_exit:       + 29.781 us  |                }
              nc-26365 [001] 211673.500364: funcgraph_entry:        0.206 us   |                _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500365: funcgraph_exit:       + 42.946 us  |              }
              nc-26365 [001] 211673.500366: funcgraph_exit:       + 44.080 us  |            }
              nc-26365 [001] 211673.500367: funcgraph_exit:       + 45.531 us  |          }
              nc-26365 [001] 211673.500367: funcgraph_exit:       + 47.502 us  |        }
              nc-26365 [001] 211673.500368: funcgraph_entry:        0.195 us   |        _raw_spin_unlock_irqrestore();
              nc-26365 [001] 211673.500370: funcgraph_exit:       + 51.491 us  |      }
              nc-26365 [001] 211673.500371: funcgraph_entry:                   |      irq_exit() {
              nc-26365 [001] 211673.500372: funcgraph_entry:        0.181 us   |        idle_cpu();
              nc-26365 [001] 211673.500373: funcgraph_entry:        0.261 us   |        rcu_irq_exit();
              nc-26365 [001] 211673.500375: funcgraph_exit:         3.507 us   |      }
              nc-26365 [001] 211673.500375: funcgraph_exit:       + 64.731 us  |    }
              nc-26365 [001] 211673.500378: funcgraph_exit:       + 68.904 us  |  }
              nc-26365 [001] 211673.500380: funcgraph_entry:                   |  smp_irq_work_interrupt() {
              nc-26365 [001] 211673.500381: funcgraph_entry:                   |    irq_enter() {
              nc-26365 [001] 211673.500382: funcgraph_entry:        0.260 us   |      rcu_irq_enter();
